амальгамировать	 несов. и сов. перех.
амальгамироваться	 несов.
амальгамный	 прил.
аманат	 м. устар.
амариллис	 м.
аматёр	 м. устар.
амбар	 м.
амбарик	 м. разг.
амбарный	 прил.
амбарушка	 ж. разг.
амбарчик	 м. разг.
амбивалентность	 ж.
амбистома	 ж.
амбистомы	 мн.
амбиции	 мн.
амбициозность	 ж.
амбициозный	 прил.
амбиционный	 прил. устар.
амбиция	 ж.
амбра	 ж.
амбразура	 ж.
амбразурный	 прил.
амбре	 ср. нескл. устар.
амбулатория	 ж.
амбулаторный	 прил.
амвон	 м.
амёбовидный	 прил.
амёбообразный	 прил.
амёбы	 мн.
Америка	 ж.
американец	 м.
американизация	 ж.
американизированный	 прил.
американизировать	 несов. и сов. перех.
американизироваться	 несов. и сов.
американизм	 м.
американист	 м.
американистика	 ж.
американистка	 ж. разг.
американский	 прил.
американцы	 мн.
аметист	 м.
аметистовый	 прил.
амидопирин	 м.
амикошонство	 ср. устар.
аминазин	 м.
аминокислота	 ж.
аминокислоты	 мн.
аммиак	 м.
аммиачный	 прил.
аммонал	 м.
аммоний	 м.
аммофос	 м.
амнезия	 ж.
амнистирование	 ср.
амнистированная	 ж.
амнистированный	 м.
амнистировать	 несов. и сов. перех.
амнистироваться	 несов.
амнистия	 ж.
аморализм	 м.
аморалка	 ж. разг.
аморальность	 ж.
аморальный	 прил.
амортизатор	 м.
амортизаторный	 прил.
амортизировать	 несов. и сов. перех.
амортизироваться	 несов.
аморфность	 ж.
аморфный	 прил.
ампер	 м.
амперметр	 м.
ампирный	 прил.
амплитуда	 ж.
амплитудный	 прил.
амплификация	 ж.
амплуа	 ср. нескл.
ампула	 ж.
ампулка	 ж. разг.
ампутационный	 прил.
ампутация	 ж.
ампутировать	 несов. и сов. перех.
ампутироваться	 несов.
амулет	 м.
амуниция	 ж.
Амур	 м.
амур	 м.
амурничать	 несов. неперех. разг.
амурный	 прил. разг.
амуры	 мн. разг.
амфибрахий	 м.
амфибрахический	 прил.
амфитеатр	 м.
амфитрион	 м. устар.
амфора	 ж.
анабиоз	 м.
анабиотический	 прил.
анаграмма	 ж.
анаконда	 ж.
анакреонтический	 прил.
анализ	 м.
анализатор	 м.
анализирование	 ср.
анализировать	 несов. и сов. перех.
анализироваться	 несов.
аналитик	 м.
аналитика	 ж. устар.
аналитический	 прил.
аналог	 м.
аналогический	 прил.
аналогичный	 прил.
аналогия	 ж.
аналой	 м.
аналойный	 прил.
анальгетик	 м.
анальгетики	 мн.
анальгин	 м.
анальный	 прил.
анамнез	 м.
анамнестический	 прил.
ананас	 м.
ананасик	 м. разг.
ананасный	 прил.
ананасовый	 прил.
анапест	 м.
анапестический	 прил.
анархистский	 прил.
анархо-синдикализм	 м.
анархо-синдикалист	 м.
анархо-синдикалистский	 прил.
анатом	 м.
анатомирование	 ср.
анатомировать	 несов. и сов. перех.
анатомический	 прил.
анатомия	 ж.
анафема	 ж.
анафемский	 прил. разг.
анафора	 ж.
анафорический	 прил.
анахорет	 м. устар.
анахоретский	 прил. устар.
анахронизм	 м.
анахронистический	 прил. устар.
анахронический	 прил.
анахроничность	 ж.
анахроничный	 прил.
анаэроб	 м.
анаэробиоз	 м.
анаэробный	 прил.
анаэробы	 мн.
ангажемент	 м. устар.
ангажирование	 ср. устар.
ангажировать	 несов. и сов. перех. устар.
ангажироваться	 несов. устар.
ангар	 м.
ангарный	 прил.
ангел	 м.
ангелоподобный	 прил.
ангел-хранитель	 м.
ангельский	 прил.
ангидрид	 м.
ангидридный	 прил.
ангидрит	 м.
ангидритовый	 прил.
ангина	 ж.
ангиома	 ж.
англез	 м.
англизированный	 прил. устар.
английский	 прил.
англиканизм	 м.
англиканский	 прил.
англиканство	 ср.
англицизм	 м.
англичане	 мн.
англичанин	 м.
англоман	 м.
англомания	 ж.
англоманка	 ж. разг.
англоманский	 прил.
англоманство	 ср. устар.
англосакс	 м.
англосаксонец	 м.
англосаксонский	 прил.
англосаксонцы	 мн.
англосаксы	 мн.
англофил	 м.
англофильский	 прил.
англофильство	 ср.
англофоб	 м.
англофобский	 прил.
англофобство	 ср.
англоязычный	 прил.
анголец	 м.
анголка	 ж.
ангольский	 прил.
ангольцы	 мн.
ангорский	 прил.
ангстрем	 м.
андезит	 м.
Андреевский	 прил.
аневризма	 ж.
анекдот	 м.
анекдотец	 м. разг.
анекдотик	 м. разг.
анекдотист	 м. устар.
анекдотический	 прил.
анекдотичный	 прил.
анекдотчик	 м. разг.
анемический	 прил.
анемичный	 прил.
анемия	 ж.
анемограф	 м.
анемометр	 м.
анемон	 м.
анемона	 ж.
анемофилия	 ж.
анероид	 м.
анестезин	 м.
анестезиолог	 м.
анестезиологический	 прил.
анестезиология	 ж.
